Country or Area,Year(s),Variant,Value
Afghanistan,2015,Medium,33736.494
Afghanistan,2015,High,33736.494
Afghanistan,2015,Low,33736.494
Afghanistan,2015,Constant fertility,33736.494
Afghanistan,2015,Instant replacement,33736.494
Afghanistan,2015,Zero migration,33736.494
Afghanistan,2015,Constant mortality,33736.494
Afghanistan,2015,No change,33736.494
Afghanistan,2015,Momentum,33736.494
Africa,2015,Medium,1194369.908
Africa,2015,High,1194369.908
Africa,2015,Low,1194369.908
Africa,2015,Constant fertility,1194369.908
Africa,2015,Instant replacement,1194369.908
Africa,2015,Zero migration,1194369.908
Africa,2015,Constant mortality,1194369.908
Africa,2015,No change,1194369.908
Africa,2015,Momentum,1194369.908
Albania,2015,Medium,2923.352
Albania,2015,High,2923.352
Albania,2015,Low,2923.352
Albania,2015,Constant fertility,2923.352
Albania,2015,Instant replacement,2923.352
Albania,2015,Zero migration,2923.352
Albania,2015,Constant mortality,2923.352
Albania,2015,No change,2923.352
Albania,2015,Momentum,2923.352
Algeria,2015,Medium,39871.528
Algeria,2015,High,39871.528
Algeria,2015,Low,39871.528
Algeria,2015,Constant fertility,39871.528
Algeria,2015,Instant replacement,39871.528
Algeria,2015,Zero migration,39871.528
Algeria,2015,Constant mortality,39871.528
Algeria,2015,No change,39871.528
Algeria,2015,Momentum,39871.528
American Samoa,2015,Medium,55.537
American Samoa,2015,High,55.537
American Samoa,2015,Low,55.537
American Samoa,2015,Constant fertility,55.537
American Samoa,2015,Instant replacement,55.537
American Samoa,2015,Zero migration,55.537
American Samoa,2015,Constant mortality,55.537
American Samoa,2015,No change,55.537
American Samoa,2015,Momentum,55.537
Andorra,2015,Medium,78.014
Andorra,2015,High,78.014
Andorra,2015,Low,78.014
Andorra,2015,Constant fertility,78.014
Andorra,2015,Instant replacement,78.014
Andorra,2015,Zero migration,78.014
Andorra,2015,Constant mortality,78.014
Andorra,2015,No change,78.014
Andorra,2015,Momentum,78.014
Angola,2015,Medium,27859.305
Angola,2015,High,27859.305
Angola,2015,Low,27859.305
Angola,2015,Constant fertility,27859.305
Angola,2015,Instant replacement,27859.305
Angola,2015,Zero migration,27859.305
Angola,2015,Constant mortality,27859.305
Angola,2015,No change,27859.305
Angola,2015,Momentum,27859.305
Anguilla,2015,Medium,14.611
Anguilla,2015,High,14.611
Anguilla,2015,Low,14.611
Anguilla,2015,Constant fertility,14.611
Anguilla,2015,Instant replacement,14.611
Anguilla,2015,Zero migration,14.611
Anguilla,2015,Constant mortality,14.611
Anguilla,2015,No change,14.611
Anguilla,2015,Momentum,14.611
Antigua and Barbuda,2015,Medium,99.923
Antigua and Barbuda,2015,High,99.923
Antigua and Barbuda,2015,Low,99.923
Antigua and Barbuda,2015,Constant fertility,99.923
Antigua and Barbuda,2015,Instant replacement,99.923
Antigua and Barbuda,2015,Zero migration,99.923
Antigua and Barbuda,2015,Constant mortality,99.923
Antigua and Barbuda,2015,No change,99.923
Antigua and Barbuda,2015,Momentum,99.923
Argentina,2015,Medium,43417.765
Argentina,2015,High,43417.765
Argentina,2015,Low,43417.765
Argentina,2015,Constant fertility,43417.765
Argentina,2015,Instant replacement,43417.765
Argentina,2015,Zero migration,43417.765
Argentina,2015,Constant mortality,43417.765
Argentina,2015,No change,43417.765
Argentina,2015,Momentum,43417.765
Armenia,2015,Medium,2916.95
Armenia,2015,High,2916.95
Armenia,2015,Low,2916.95
Armenia,2015,Constant fertility,2916.95
Armenia,2015,Instant replacement,2916.95
Armenia,2015,Zero migration,2916.95
Armenia,2015,Constant mortality,2916.95
Armenia,2015,No change,2916.95
Armenia,2015,Momentum,2916.95
Aruba,2015,Medium,104.341
Aruba,2015,High,104.341
Aruba,2015,Low,104.341
Aruba,2015,Constant fertility,104.341
Aruba,2015,Instant replacement,104.341
Aruba,2015,Zero migration,104.341
Aruba,2015,Constant mortality,104.341
Aruba,2015,No change,104.341
Aruba,2015,Momentum,104.341
Asia,2015,Medium,4419897.601
Asia,2015,High,4419897.601
Asia,2015,Low,4419897.601
Asia,2015,Constant fertility,4419897.601
Asia,2015,Instant replacement,4419897.601
Asia,2015,Zero migration,4419897.601
Asia,2015,Constant mortality,4419897.601
Asia,2015,No change,4419897.601
Asia,2015,Momentum,4419897.601
Australia,2015,Medium,23799.556
Australia,2015,High,23799.556
Australia,2015,Low,23799.556
Australia,2015,Constant fertility,23799.556
Australia,2015,Instant replacement,23799.556
Australia,2015,Zero migration,23799.556
Australia,2015,Constant mortality,23799.556
Australia,2015,No change,23799.556
Australia,2015,Momentum,23799.556
Australia/New Zealand,2015,Medium,28414.088
Australia/New Zealand,2015,High,28414.088
Australia/New Zealand,2015,Low,28414.088
Australia/New Zealand,2015,Constant fertility,28414.088
Australia/New Zealand,2015,Instant replacement,28414.088
Australia/New Zealand,2015,Zero migration,28414.088
Australia/New Zealand,2015,Constant mortality,28414.088
Australia/New Zealand,2015,No change,28414.088
Australia/New Zealand,2015,Momentum,28414.088
Austria,2015,Medium,8678.657
Austria,2015,High,8678.657
Austria,2015,Low,8678.657
Austria,2015,Constant fertility,8678.657
Austria,2015,Instant replacement,8678.657
Austria,2015,Zero migration,8678.657
Austria,2015,Constant mortality,8678.657
Austria,2015,No change,8678.657
Austria,2015,Momentum,8678.657
Azerbaijan,2015,Medium,9617.484
Azerbaijan,2015,High,9617.484
Azerbaijan,2015,Low,9617.484
Azerbaijan,2015,Constant fertility,9617.484
Azerbaijan,2015,Instant replacement,9617.484
Azerbaijan,2015,Zero migration,9617.484
Azerbaijan,2015,Constant mortality,9617.484
Azerbaijan,2015,No change,9617.484
Azerbaijan,2015,Momentum,9617.484
Bahamas,2015,Medium,386.838
Bahamas,2015,High,386.838
Bahamas,2015,Low,386.838
Bahamas,2015,Constant fertility,386.838
Bahamas,2015,Instant replacement,386.838
Bahamas,2015,Zero migration,386.838
Bahamas,2015,Constant mortality,386.838
Bahamas,2015,No change,386.838
Bahamas,2015,Momentum,386.838
Bahrain,2015,Medium,1371.855
Bahrain,2015,High,1371.855
Bahrain,2015,Low,1371.855
Bahrain,2015,Constant fertility,1371.855
Bahrain,2015,Instant replacement,1371.855
Bahrain,2015,Zero migration,1371.855
Bahrain,2015,Constant mortality,1371.855
Bahrain,2015,No change,1371.855
Bahrain,2015,Momentum,1371.855
Bangladesh,2015,Medium,161200.886
Bangladesh,2015,High,161200.886
Bangladesh,2015,Low,161200.886
Bangladesh,2015,Constant fertility,161200.886
Bangladesh,2015,Instant replacement,161200.886
Bangladesh,2015,Zero migration,161200.886
Bangladesh,2015,Constant mortality,161200.886
Bangladesh,2015,No change,161200.886
Bangladesh,2015,Momentum,161200.886
Barbados,2015,Medium,284.217
Barbados,2015,High,284.217
Barbados,2015,Low,284.217
Barbados,2015,Constant fertility,284.217
Barbados,2015,Instant replacement,284.217
Barbados,2015,Zero migration,284.217
Barbados,2015,Constant mortality,284.217
Barbados,2015,No change,284.217
Barbados,2015,Momentum,284.217
Belarus,2015,Medium,9485.772
Belarus,2015,High,9485.772
Belarus,2015,Low,9485.772
Belarus,2015,Constant fertility,9485.772
Belarus,2015,Instant replacement,9485.772
Belarus,2015,Zero migration,9485.772
Belarus,2015,Constant mortality,9485.772
Belarus,2015,No change,9485.772
Belarus,2015,Momentum,9485.772
Belgium,2015,Medium,11287.94
Belgium,2015,High,11287.94
Belgium,2015,Low,11287.94
Belgium,2015,Constant fertility,11287.94
Belgium,2015,Instant replacement,11287.94
Belgium,2015,Zero migration,11287.94
Belgium,2015,Constant mortality,11287.94
Belgium,2015,No change,11287.94
Belgium,2015,Momentum,11287.94
Belize,2015,Medium,359.288
Belize,2015,High,359.288
Belize,2015,Low,359.288
Belize,2015,Constant fertility,359.288
Belize,2015,Instant replacement,359.288
Belize,2015,Zero migration,359.288
Belize,2015,Constant mortality,359.288
Belize,2015,No change,359.288
Belize,2015,Momentum,359.288
Benin,2015,Medium,10575.952
Benin,2015,High,10575.952
Benin,2015,Low,10575.952
Benin,2015,Constant fertility,10575.952
Benin,2015,Instant replacement,10575.952
Benin,2015,Zero migration,10575.952
Benin,2015,Constant mortality,10575.952
Benin,2015,No change,10575.952
Benin,2015,Momentum,10575.952
Bermuda,2015,Medium,62.003
Bermuda,2015,High,62.003
Bermuda,2015,Low,62.003
Bermuda,2015,Constant fertility,62.003
Bermuda,2015,Instant replacement,62.003
Bermuda,2015,Zero migration,62.003
Bermuda,2015,Constant mortality,62.003
Bermuda,2015,No change,62.003
Bermuda,2015,Momentum,62.003
Bhutan,2015,Medium,787.386
Bhutan,2015,High,787.386
Bhutan,2015,Low,787.386
Bhutan,2015,Constant fertility,787.386
Bhutan,2015,Instant replacement,787.386
Bhutan,2015,Zero migration,787.386
Bhutan,2015,Constant mortality,787.386
Bhutan,2015,No change,787.386
Bhutan,2015,Momentum,787.386
Bolivia,2015,Medium,10724.705
Bolivia,2015,High,10724.705
Bolivia,2015,Low,10724.705
Bolivia,2015,Constant fertility,10724.705
Bolivia,2015,Instant replacement,10724.705
Bolivia,2015,Zero migration,10724.705
Bolivia,2015,Constant mortality,10724.705
Bolivia,2015,No change,10724.705
Bolivia,2015,Momentum,10724.705
Bosnia and Herzegovina,2015,Medium,3535.961
Bosnia and Herzegovina,2015,High,3535.961
Bosnia and Herzegovina,2015,Low,3535.961
Bosnia and Herzegovina,2015,Constant fertility,3535.961
Bosnia and Herzegovina,2015,Instant replacement,3535.961
Bosnia and Herzegovina,2015,Zero migration,3535.961
Bosnia and Herzegovina,2015,Constant mortality,3535.961
Bosnia and Herzegovina,2015,No change,3535.961
Bosnia and Herzegovina,2015,Momentum,3535.961
Botswana,2015,Medium,2209.197
Botswana,2015,High,2209.197
Botswana,2015,Low,2209.197
Botswana,2015,Constant fertility,2209.197
Botswana,2015,Instant replacement,2209.197
Botswana,2015,Zero migration,2209.197
Botswana,2015,Constant mortality,2209.197
Botswana,2015,No change,2209.197
Botswana,2015,Momentum,2209.197
Brazil,2015,Medium,205962.108
Brazil,2015,High,205962.108
Brazil,2015,Low,205962.108
Brazil,2015,Constant fertility,205962.108
Brazil,2015,Instant replacement,205962.108
Brazil,2015,Zero migration,205962.108
Brazil,2015,Constant mortality,205962.108
Brazil,2015,No change,205962.108
Brazil,2015,Momentum,205962.108
British Virgin Islands,2015,Medium,30.113
British Virgin Islands,2015,High,30.113
British Virgin Islands,2015,Low,30.113
British Virgin Islands,2015,Constant fertility,30.113
British Virgin Islands,2015,Instant replacement,30.113
British Virgin Islands,2015,Zero migration,30.113
British Virgin Islands,2015,Constant mortality,30.113
British Virgin Islands,2015,No change,30.113
British Virgin Islands,2015,Momentum,30.113
Brunei Darussalam,2015,Medium,417.542
Brunei Darussalam,2015,High,417.542
Brunei Darussalam,2015,Low,417.542
Brunei Darussalam,2015,Constant fertility,417.542
Brunei Darussalam,2015,Instant replacement,417.542
Brunei Darussalam,2015,Zero migration,417.542
Brunei Darussalam,2015,Constant mortality,417.542
Brunei Darussalam,2015,No change,417.542
Brunei Darussalam,2015,Momentum,417.542
Bulgaria,2015,Medium,7177.396
Bulgaria,2015,High,7177.396
Bulgaria,2015,Low,7177.396
Bulgaria,2015,Constant fertility,7177.396
Bulgaria,2015,Instant replacement,7177.396
Bulgaria,2015,Zero migration,7177.396
Bulgaria,2015,Constant mortality,7177.396
Bulgaria,2015,No change,7177.396
Bulgaria,2015,Momentum,7177.396
Burkina Faso,2015,Medium,18110.624
Burkina Faso,2015,High,18110.624
Burkina Faso,2015,Low,18110.624
Burkina Faso,2015,Constant fertility,18110.624
Burkina Faso,2015,Instant replacement,18110.624
Burkina Faso,2015,Zero migration,18110.624
Burkina Faso,2015,Constant mortality,18110.624
Burkina Faso,2015,No change,18110.624
Burkina Faso,2015,Momentum,18110.624
Burundi,2015,Medium,10199.27
Burundi,2015,High,10199.27
Burundi,2015,Low,10199.27
Burundi,2015,Constant fertility,10199.27
Burundi,2015,Instant replacement,10199.27
Burundi,2015,Zero migration,10199.27
Burundi,2015,Constant mortality,10199.27
Burundi,2015,No change,10199.27
Burundi,2015,Momentum,10199.27
Cabo Verde,2015,Medium,532.913
Cabo Verde,2015,High,532.913
Cabo Verde,2015,Low,532.913
Cabo Verde,2015,Constant fertility,532.913
Cabo Verde,2015,Instant replacement,532.913
Cabo Verde,2015,Zero migration,532.913
Cabo Verde,2015,Constant mortality,532.913
Cabo Verde,2015,No change,532.913
Cabo Verde,2015,Momentum,532.913
Cambodia,2015,Medium,15517.635
Cambodia,2015,High,15517.635
Cambodia,2015,Low,15517.635
Cambodia,2015,Constant fertility,15517.635
Cambodia,2015,Instant replacement,15517.635
Cambodia,2015,Zero migration,15517.635
Cambodia,2015,Constant mortality,15517.635
Cambodia,2015,No change,15517.635
Cambodia,2015,Momentum,15517.635
Cameroon,2015,Medium,22834.522
Cameroon,2015,High,22834.522
Cameroon,2015,Low,22834.522
Cameroon,2015,Constant fertility,22834.522
Cameroon,2015,Instant replacement,22834.522
Cameroon,2015,Zero migration,22834.522
Cameroon,2015,Constant mortality,22834.522
Cameroon,2015,No change,22834.522
Cameroon,2015,Momentum,22834.522
Canada,2015,Medium,35949.709
Canada,2015,High,35949.709
Canada,2015,Low,35949.709
Canada,2015,Constant fertility,35949.709
Canada,2015,Instant replacement,35949.709
Canada,2015,Zero migration,35949.709
Canada,2015,Constant mortality,35949.709
Canada,2015,No change,35949.709
Canada,2015,Momentum,35949.709
Caribbean,2015,Medium,43309.611
Caribbean,2015,High,43309.611
Caribbean,2015,Low,43309.611
Caribbean,2015,Constant fertility,43309.611
Caribbean,2015,Instant replacement,43309.611
Caribbean,2015,Zero migration,43309.611
Caribbean,2015,Constant mortality,43309.611
Caribbean,2015,No change,43309.611
Caribbean,2015,Momentum,43309.611
Caribbean Netherlands,2015,Medium,24.57
Caribbean Netherlands,2015,High,24.57
Caribbean Netherlands,2015,Low,24.57
Caribbean Netherlands,2015,Constant fertility,24.57
Caribbean Netherlands,2015,Instant replacement,24.57
Caribbean Netherlands,2015,Zero migration,24.57
Caribbean Netherlands,2015,Constant mortality,24.57
Caribbean Netherlands,2015,No change,24.57
Caribbean Netherlands,2015,Momentum,24.57
Cayman Islands,2015,Medium,59.963
Cayman Islands,2015,High,59.963
Cayman Islands,2015,Low,59.963
Cayman Islands,2015,Constant fertility,59.963
Cayman Islands,2015,Instant replacement,59.963
Cayman Islands,2015,Zero migration,59.963
Cayman Islands,2015,Constant mortality,59.963
Cayman Islands,2015,No change,59.963
Cayman Islands,2015,Momentum,59.963
Central African Republic,2015,Medium,4546.1
Central African Republic,2015,High,4546.1
Central African Republic,2015,Low,4546.1
Central African Republic,2015,Constant fertility,4546.1
Central African Republic,2015,Instant replacement,4546.1
Central African Republic,2015,Zero migration,4546.1
Central African Republic,2015,Constant mortality,4546.1
Central African Republic,2015,No change,4546.1
Central African Republic,2015,Momentum,4546.1
Central America,2015,Medium,172635.109
Central America,2015,High,172635.109
Central America,2015,Low,172635.109
Central America,2015,Constant fertility,172635.109
Central America,2015,Instant replacement,172635.109
Central America,2015,Zero migration,172635.109
Central America,2015,Constant mortality,172635.109
Central America,2015,No change,172635.109
Central America,2015,Momentum,172635.109
Central Asia,2015,Medium,68705.005
Central Asia,2015,High,68705.005
Central Asia,2015,Low,68705.005
Central Asia,2015,Constant fertility,68705.005
Central Asia,2015,Instant replacement,68705.005
Central Asia,2015,Zero migration,68705.005
Central Asia,2015,Constant mortality,68705.005
Central Asia,2015,No change,68705.005
Central Asia,2015,Momentum,68705.005
Chad,2015,Medium,14009.413
Chad,2015,High,14009.413
Chad,2015,Low,14009.413
Chad,2015,Constant fertility,14009.413
Chad,2015,Instant replacement,14009.413
Chad,2015,Zero migration,14009.413
Chad,2015,Constant mortality,14009.413
Chad,2015,No change,14009.413
Chad,2015,Momentum,14009.413
Channel Islands,2015,Medium,163.758
Channel Islands,2015,High,163.758
Channel Islands,2015,Low,163.758
Channel Islands,2015,Constant fertility,163.758
Channel Islands,2015,Instant replacement,163.758
Channel Islands,2015,Zero migration,163.758
Channel Islands,2015,Constant mortality,163.758
Channel Islands,2015,No change,163.758
Channel Islands,2015,Momentum,163.758
Chile,2015,Medium,17762.681
Chile,2015,High,17762.681
Chile,2015,Low,17762.681
Chile,2015,Constant fertility,17762.681
Chile,2015,Instant replacement,17762.681
Chile,2015,Zero migration,17762.681
Chile,2015,Constant mortality,17762.681
Chile,2015,No change,17762.681
Chile,2015,Momentum,17762.681
China,2015,Medium,1397028.553
China,2015,High,1397028.553
China,2015,Low,1397028.553
China,2015,Constant fertility,1397028.553
China,2015,Instant replacement,1397028.553
China,2015,Zero migration,1397028.553
China,2015,Constant mortality,1397028.553
China,2015,No change,1397028.553
China,2015,Momentum,1397028.553
China Hong Kong SAR,2015,Medium,7245.701
China Hong Kong SAR,2015,High,7245.701
China Hong Kong SAR,2015,Low,7245.701
China Hong Kong SAR,2015,Constant fertility,7245.701
China Hong Kong SAR,2015,Instant replacement,7245.701
China Hong Kong SAR,2015,Zero migration,7245.701
China Hong Kong SAR,2015,Constant mortality,7245.701
China Hong Kong SAR,2015,No change,7245.701
China Hong Kong SAR,2015,Momentum,7245.701
China Macao SAR,2015,Medium,600.942
China Macao SAR,2015,High,600.942
China Macao SAR,2015,Low,600.942
China Macao SAR,2015,Constant fertility,600.942
China Macao SAR,2015,Instant replacement,600.942
China Macao SAR,2015,Zero migration,600.942
China Macao SAR,2015,Constant mortality,600.942
China Macao SAR,2015,No change,600.942
China Macao SAR,2015,Momentum,600.942
China Taiwan Province of China,2015,Medium,23485.755
China Taiwan Province of China,2015,High,23485.755
China Taiwan Province of China,2015,Low,23485.755
China Taiwan Province of China,2015,Constant fertility,23485.755
China Taiwan Province of China,2015,Instant replacement,23485.755
China Taiwan Province of China,2015,Zero migration,23485.755
China Taiwan Province of China,2015,Constant mortality,23485.755
China Taiwan Province of China,2015,No change,23485.755
China Taiwan Province of China,2015,Momentum,23485.755
Ivory Coast,2015,Medium,23108.472
Ivory Coast,2015,High,23108.472
Ivory Coast,2015,Low,23108.472
Ivory Coast,2015,Constant fertility,23108.472
Ivory Coast,2015,Instant replacement,23108.472
Ivory Coast,2015,Zero migration,23108.472
Ivory Coast,2015,Constant mortality,23108.472
Ivory Coast,2015,No change,23108.472
Ivory Coast,2015,Momentum,23108.472
Colombia,2015,Medium,48228.697
Colombia,2015,High,48228.697
Colombia,2015,Low,48228.697
Colombia,2015,Constant fertility,48228.697
Colombia,2015,Instant replacement,48228.697
Colombia,2015,Zero migration,48228.697
Colombia,2015,Constant mortality,48228.697
Colombia,2015,No change,48228.697
Colombia,2015,Momentum,48228.697
Comoros,2015,Medium,777.424
Comoros,2015,High,777.424
Comoros,2015,Low,777.424
Comoros,2015,Constant fertility,777.424
Comoros,2015,Instant replacement,777.424
Comoros,2015,Zero migration,777.424
Comoros,2015,Constant mortality,777.424
Comoros,2015,No change,777.424
Comoros,2015,Momentum,777.424
Congo,2015,Medium,4995.648
Congo,2015,High,4995.648
Congo,2015,Low,4995.648
Congo,2015,Constant fertility,4995.648
Congo,2015,Instant replacement,4995.648
Congo,2015,Zero migration,4995.648
Congo,2015,Constant mortality,4995.648
Congo,2015,No change,4995.648
Congo,2015,Momentum,4995.648
Cook Islands,2015,Medium,17.449
Cook Islands,2015,High,17.449
Cook Islands,2015,Low,17.449
Cook Islands,2015,Constant fertility,17.449
Cook Islands,2015,Instant replacement,17.449
Cook Islands,2015,Zero migration,17.449
Cook Islands,2015,Constant mortality,17.449
Cook Islands,2015,No change,17.449
Cook Islands,2015,Momentum,17.449
Costa Rica,2015,Medium,4807.852
Costa Rica,2015,High,4807.852
Costa Rica,2015,Low,4807.852
Costa Rica,2015,Constant fertility,4807.852
Costa Rica,2015,Instant replacement,4807.852
Costa Rica,2015,Zero migration,4807.852
Costa Rica,2015,Constant mortality,4807.852
Costa Rica,2015,No change,4807.852
Costa Rica,2015,Momentum,4807.852
Croatia,2015,Medium,4236.016
Croatia,2015,High,4236.016
Croatia,2015,Low,4236.016
Croatia,2015,Constant fertility,4236.016
Croatia,2015,Instant replacement,4236.016
Croatia,2015,Zero migration,4236.016
Croatia,2015,Constant mortality,4236.016
Croatia,2015,No change,4236.016
Croatia,2015,Momentum,4236.016
Cuba,2015,Medium,11461.432
Cuba,2015,High,11461.432
Cuba,2015,Low,11461.432
Cuba,2015,Constant fertility,11461.432
Cuba,2015,Instant replacement,11461.432
Cuba,2015,Zero migration,11461.432
Cuba,2015,Constant mortality,11461.432
Cuba,2015,No change,11461.432
Cuba,2015,Momentum,11461.432
Curaçao,2015,Medium,158.01
Curaçao,2015,High,158.01
Curaçao,2015,Low,158.01
Curaçao,2015,Constant fertility,158.01
Curaçao,2015,Instant replacement,158.01
Curaçao,2015,Zero migration,158.01
Curaçao,2015,Constant mortality,158.01
Curaçao,2015,No change,158.01
Curaçao,2015,Momentum,158.01
Cyprus,2015,Medium,1160.985
Cyprus,2015,High,1160.985
Cyprus,2015,Low,1160.985
Cyprus,2015,Constant fertility,1160.985
Cyprus,2015,Instant replacement,1160.985
Cyprus,2015,Zero migration,1160.985
Cyprus,2015,Constant mortality,1160.985
Cyprus,2015,No change,1160.985
Cyprus,2015,Momentum,1160.985
Czech Republic,2015,Medium,10603.762
Czech Republic,2015,High,10603.762
Czech Republic,2015,Low,10603.762
Czech Republic,2015,Constant fertility,10603.762
Czech Republic,2015,Instant replacement,10603.762
Czech Republic,2015,Zero migration,10603.762
Czech Republic,2015,Constant mortality,10603.762
Czech Republic,2015,No change,10603.762
Czech Republic,2015,Momentum,10603.762
North Korea,2015,Medium,25243.917
North Korea,2015,High,25243.917
North Korea,2015,Low,25243.917
North Korea,2015,Constant fertility,25243.917
North Korea,2015,Instant replacement,25243.917
North Korea,2015,Zero migration,25243.917
North Korea,2015,Constant mortality,25243.917
North Korea,2015,No change,25243.917
North Korea,2015,Momentum,25243.917
Democratic Republic of the Congo,2015,Medium,76196.619
Democratic Republic of the Congo,2015,High,76196.619
Democratic Republic of the Congo,2015,Low,76196.619
Democratic Republic of the Congo,2015,Constant fertility,76196.619
Democratic Republic of the Congo,2015,Instant replacement,76196.619
Democratic Republic of the Congo,2015,Zero migration,76196.619
Democratic Republic of the Congo,2015,Constant mortality,76196.619
Democratic Republic of the Congo,2015,No change,76196.619
Democratic Republic of the Congo,2015,Momentum,76196.619
Denmark,2015,Medium,5688.695
Denmark,2015,High,5688.695
Denmark,2015,Low,5688.695
Denmark,2015,Constant fertility,5688.695
Denmark,2015,Instant replacement,5688.695
Denmark,2015,Zero migration,5688.695
Denmark,2015,Constant mortality,5688.695
Denmark,2015,No change,5688.695
Denmark,2015,Momentum,5688.695
Djibouti,2015,Medium,927.414
Djibouti,2015,High,927.414
Djibouti,2015,Low,927.414
Djibouti,2015,Constant fertility,927.414
Djibouti,2015,Instant replacement,927.414
Djibouti,2015,Zero migration,927.414
Djibouti,2015,Constant mortality,927.414
Djibouti,2015,No change,927.414
Djibouti,2015,Momentum,927.414
Dominica,2015,Medium,73.162
Dominica,2015,High,73.162
Dominica,2015,Low,73.162
Dominica,2015,Constant fertility,73.162
Dominica,2015,Instant replacement,73.162
Dominica,2015,Zero migration,73.162
Dominica,2015,Constant mortality,73.162
Dominica,2015,No change,73.162
Dominica,2015,Momentum,73.162
Dominican Republic,2015,Medium,10528.394
Dominican Republic,2015,High,10528.394
Dominican Republic,2015,Low,10528.394
