Country or Area,Year(s),Variant,Value
Dominican Republic,2015,Constant fertility,10528.394
Dominican Republic,2015,Instant replacement,10528.394
Dominican Republic,2015,Zero migration,10528.394
Dominican Republic,2015,Constant mortality,10528.394
Dominican Republic,2015,No change,10528.394
Dominican Republic,2015,Momentum,10528.394
Eastern Africa,2015,Medium,399458.026
Eastern Africa,2015,High,399458.026
Eastern Africa,2015,Low,399458.026
Eastern Africa,2015,Constant fertility,399458.026
Eastern Africa,2015,Instant replacement,399458.026
Eastern Africa,2015,Zero migration,399458.026
Eastern Africa,2015,Constant mortality,399458.026
Eastern Africa,2015,No change,399458.026
Eastern Africa,2015,Momentum,399458.026
Eastern Asia,2015,Medium,1635150.365
Eastern Asia,2015,High,1635150.365
Eastern Asia,2015,Low,1635150.365
Eastern Asia,2015,Constant fertility,1635150.365
Eastern Asia,2015,Instant replacement,1635150.365
Eastern Asia,2015,Zero migration,1635150.365
Eastern Asia,2015,Constant mortality,1635150.365
Eastern Asia,2015,No change,1635150.365
Eastern Asia,2015,Momentum,1635150.365
Eastern Europe,2015,Medium,293243.708
Eastern Europe,2015,High,293243.708
Eastern Europe,2015,Low,293243.708
Eastern Europe,2015,Constant fertility,293243.708
Eastern Europe,2015,Instant replacement,293243.708
Eastern Europe,2015,Zero migration,293243.708
Eastern Europe,2015,Constant mortality,293243.708
Eastern Europe,2015,No change,293243.708
Eastern Europe,2015,Momentum,293243.708
Ecuador,2015,Medium,16144.368
Ecuador,2015,High,16144.368
Ecuador,2015,Low,16144.368
Ecuador,2015,Constant fertility,16144.368
Ecuador,2015,Instant replacement,16144.368
Ecuador,2015,Zero migration,16144.368
Ecuador,2015,Constant mortality,16144.368
Ecuador,2015,No change,16144.368
Ecuador,2015,Momentum,16144.368
Egypt,2015,Medium,93778.172
Egypt,2015,High,93778.172
Egypt,2015,Low,93778.172
Egypt,2015,Constant fertility,93778.172
Egypt,2015,Instant replacement,93778.172
Egypt,2015,Zero migration,93778.172
Egypt,2015,Constant mortality,93778.172
Egypt,2015,No change,93778.172
Egypt,2015,Momentum,93778.172
El Salvador,2015,Medium,6312.478
El Salvador,2015,High,6312.478
El Salvador,2015,Low,6312.478
El Salvador,2015,Constant fertility,6312.478
El Salvador,2015,Instant replacement,6312.478
El Salvador,2015,Zero migration,6312.478
El Salvador,2015,Constant mortality,6312.478
El Salvador,2015,No change,6312.478
El Salvador,2015,Momentum,6312.478
Equatorial Guinea,2015,Medium,1175.389
Equatorial Guinea,2015,High,1175.389
Equatorial Guinea,2015,Low,1175.389
Equatorial Guinea,2015,Constant fertility,1175.389
Equatorial Guinea,2015,Instant replacement,1175.389
Equatorial Guinea,2015,Zero migration,1175.389
Equatorial Guinea,2015,Constant mortality,1175.389
Equatorial Guinea,2015,No change,1175.389
Equatorial Guinea,2015,Momentum,1175.389
Eritrea,2015,Medium,4846.976
Eritrea,2015,High,4846.976
Eritrea,2015,Low,4846.976
Eritrea,2015,Constant fertility,4846.976
Eritrea,2015,Instant replacement,4846.976
Eritrea,2015,Zero migration,4846.976
Eritrea,2015,Constant mortality,4846.976
Eritrea,2015,No change,4846.976
Eritrea,2015,Momentum,4846.976
Estonia,2015,Medium,1315.321
Estonia,2015,High,1315.321
Estonia,2015,Low,1315.321
Estonia,2015,Constant fertility,1315.321
Estonia,2015,Instant replacement,1315.321
Estonia,2015,Zero migration,1315.321
Estonia,2015,Constant mortality,1315.321
Estonia,2015,No change,1315.321
Estonia,2015,Momentum,1315.321
Ethiopia,2015,Medium,99873.033
Ethiopia,2015,High,99873.033
Ethiopia,2015,Low,99873.033
Ethiopia,2015,Constant fertility,99873.033
Ethiopia,2015,Instant replacement,99873.033
Ethiopia,2015,Zero migration,99873.033
Ethiopia,2015,Constant mortality,99873.033
Ethiopia,2015,No change,99873.033
Ethiopia,2015,Momentum,99873.033
Europe,2015,Medium,740813.959
Europe,2015,High,740813.959
Europe,2015,Low,740813.959
Europe,2015,Constant fertility,740813.959
Europe,2015,Instant replacement,740813.959
Europe,2015,Zero migration,740813.959
Europe,2015,Constant mortality,740813.959
Europe,2015,No change,740813.959
Europe,2015,Momentum,740813.959
Faeroe Islands,2015,Medium,48.965
Faeroe Islands,2015,High,48.965
Faeroe Islands,2015,Low,48.965
Faeroe Islands,2015,Constant fertility,48.965
Faeroe Islands,2015,Instant replacement,48.965
Faeroe Islands,2015,Zero migration,48.965
Faeroe Islands,2015,Constant mortality,48.965
Faeroe Islands,2015,No change,48.965
Faeroe Islands,2015,Momentum,48.965
Falkland Islands (Malvinas),2015,Medium,2.898
Falkland Islands (Malvinas),2015,High,2.898
Falkland Islands (Malvinas),2015,Low,2.898
Falkland Islands (Malvinas),2015,Constant fertility,2.898
Falkland Islands (Malvinas),2015,Instant replacement,2.898
Falkland Islands (Malvinas),2015,Zero migration,2.898
Falkland Islands (Malvinas),2015,Constant mortality,2.898
Falkland Islands (Malvinas),2015,No change,2.898
Falkland Islands (Malvinas),2015,Momentum,2.898
Fiji,2015,Medium,892.149
Fiji,2015,High,892.149
Fiji,2015,Low,892.149
Fiji,2015,Constant fertility,892.149
Fiji,2015,Instant replacement,892.149
Fiji,2015,Zero migration,892.149
Fiji,2015,Constant mortality,892.149
Fiji,2015,No change,892.149
Fiji,2015,Momentum,892.149
Finland,2015,Medium,5481.966
Finland,2015,High,5481.966
Finland,2015,Low,5481.966
Finland,2015,Constant fertility,5481.966
Finland,2015,Instant replacement,5481.966
Finland,2015,Zero migration,5481.966
Finland,2015,Constant mortality,5481.966
Finland,2015,No change,5481.966
Finland,2015,Momentum,5481.966
France,2015,Medium,64457.201
France,2015,High,64457.201
France,2015,Low,64457.201
France,2015,Constant fertility,64457.201
France,2015,Instant replacement,64457.201
France,2015,Zero migration,64457.201
France,2015,Constant mortality,64457.201
France,2015,No change,64457.201
France,2015,Momentum,64457.201
French Guiana,2015,Medium,268.691
French Guiana,2015,High,268.691
French Guiana,2015,Low,268.691
French Guiana,2015,Constant fertility,268.691
French Guiana,2015,Instant replacement,268.691
French Guiana,2015,Zero migration,268.691
French Guiana,2015,Constant mortality,268.691
French Guiana,2015,No change,268.691
French Guiana,2015,Momentum,268.691
French Polynesia,2015,Medium,277.69
French Polynesia,2015,High,277.69
French Polynesia,2015,Low,277.69
French Polynesia,2015,Constant fertility,277.69
French Polynesia,2015,Instant replacement,277.69
French Polynesia,2015,Zero migration,277.69
French Polynesia,2015,Constant mortality,277.69
French Polynesia,2015,No change,277.69
French Polynesia,2015,Momentum,277.69
Gabon,2015,Medium,1930.175
Gabon,2015,High,1930.175
Gabon,2015,Low,1930.175
Gabon,2015,Constant fertility,1930.175
Gabon,2015,Instant replacement,1930.175
Gabon,2015,Zero migration,1930.175
Gabon,2015,Constant mortality,1930.175
Gabon,2015,No change,1930.175
Gabon,2015,Momentum,1930.175
Gambia,2015,Medium,1977.59
Gambia,2015,High,1977.59
Gambia,2015,Low,1977.59
Gambia,2015,Constant fertility,1977.59
Gambia,2015,Instant replacement,1977.59
Gambia,2015,Zero migration,1977.59
Gambia,2015,Constant mortality,1977.59
Gambia,2015,No change,1977.59
Gambia,2015,Momentum,1977.59
Georgia,2015,Medium,3951.524
Georgia,2015,High,3951.524
Georgia,2015,Low,3951.524
Georgia,2015,Constant fertility,3951.524
Georgia,2015,Instant replacement,3951.524
Georgia,2015,Zero migration,3951.524
Georgia,2015,Constant mortality,3951.524
Georgia,2015,No change,3951.524
Georgia,2015,Momentum,3951.524
Germany,2015,Medium,81707.789
Germany,2015,High,81707.789
Germany,2015,Low,81707.789
Germany,2015,Constant fertility,81707.789
Germany,2015,Instant replacement,81707.789
Germany,2015,Zero migration,81707.789
Germany,2015,Constant mortality,81707.789
Germany,2015,No change,81707.789
Germany,2015,Momentum,81707.789
Ghana,2015,Medium,27582.821
Ghana,2015,High,27582.821
Ghana,2015,Low,27582.821
Ghana,2015,Constant fertility,27582.821
Ghana,2015,Instant replacement,27582.821
Ghana,2015,Zero migration,27582.821
Ghana,2015,Constant mortality,27582.821
Ghana,2015,No change,27582.821
Ghana,2015,Momentum,27582.821
Gibraltar,2015,Medium,34.228
Gibraltar,2015,High,34.228
Gibraltar,2015,Low,34.228
Gibraltar,2015,Constant fertility,34.228
Gibraltar,2015,Instant replacement,34.228
Gibraltar,2015,Zero migration,34.228
Gibraltar,2015,Constant mortality,34.228
Gibraltar,2015,No change,34.228
Gibraltar,2015,Momentum,34.228
Greece,2015,Medium,11217.8
Greece,2015,High,11217.8
Greece,2015,Low,11217.8
Greece,2015,Constant fertility,11217.8
Greece,2015,Instant replacement,11217.8
Greece,2015,Zero migration,11217.8
Greece,2015,Constant mortality,11217.8
Greece,2015,No change,11217.8
Greece,2015,Momentum,11217.8
Greenland,2015,Medium,56.377
Greenland,2015,High,56.377
Greenland,2015,Low,56.377
Greenland,2015,Constant fertility,56.377
Greenland,2015,Instant replacement,56.377
Greenland,2015,Zero migration,56.377
Greenland,2015,Constant mortality,56.377
Greenland,2015,No change,56.377
Greenland,2015,Momentum,56.377
Grenada,2015,Medium,106.823
Grenada,2015,High,106.823
Grenada,2015,Low,106.823
Grenada,2015,Constant fertility,106.823
Grenada,2015,Instant replacement,106.823
Grenada,2015,Zero migration,106.823
Grenada,2015,Constant mortality,106.823
Grenada,2015,No change,106.823
Grenada,2015,Momentum,106.823
Guadeloupe,2015,Medium,450.418
Guadeloupe,2015,High,450.418
Guadeloupe,2015,Low,450.418
Guadeloupe,2015,Constant fertility,450.418
Guadeloupe,2015,Instant replacement,450.418
Guadeloupe,2015,Zero migration,450.418
Guadeloupe,2015,Constant mortality,450.418
Guadeloupe,2015,No change,450.418
Guadeloupe,2015,Momentum,450.418
Guam,2015,Medium,161.797
Guam,2015,High,161.797
Guam,2015,Low,161.797
Guam,2015,Constant fertility,161.797
Guam,2015,Instant replacement,161.797
Guam,2015,Zero migration,161.797
Guam,2015,Constant mortality,161.797
Guam,2015,No change,161.797
Guam,2015,Momentum,161.797
Guatemala,2015,Medium,16252.429
Guatemala,2015,High,16252.429
Guatemala,2015,Low,16252.429
Guatemala,2015,Constant fertility,16252.429
Guatemala,2015,Instant replacement,16252.429
Guatemala,2015,Zero migration,16252.429
Guatemala,2015,Constant mortality,16252.429
Guatemala,2015,No change,16252.429
Guatemala,2015,Momentum,16252.429
Guinea,2015,Medium,12091.533
Guinea,2015,High,12091.533
Guinea,2015,Low,12091.533
Guinea,2015,Constant fertility,12091.533
Guinea,2015,Instant replacement,12091.533
Guinea,2015,Zero migration,12091.533
Guinea,2015,Constant mortality,12091.533
Guinea,2015,No change,12091.533
Guinea,2015,Momentum,12091.533
Guinea-Bissau,2015,Medium,1770.526
Guinea-Bissau,2015,High,1770.526
Guinea-Bissau,2015,Low,1770.526
Guinea-Bissau,2015,Constant fertility,1770.526
Guinea-Bissau,2015,Instant replacement,1770.526
Guinea-Bissau,2015,Zero migration,1770.526
Guinea-Bissau,2015,Constant mortality,1770.526
Guinea-Bissau,2015,No change,1770.526
Guinea-Bissau,2015,Momentum,1770.526
Guyana,2015,Medium,768.514
Guyana,2015,High,768.514
Guyana,2015,Low,768.514
Guyana,2015,Constant fertility,768.514
Guyana,2015,Instant replacement,768.514
Guyana,2015,Zero migration,768.514
Guyana,2015,Constant mortality,768.514
Guyana,2015,No change,768.514
Guyana,2015,Momentum,768.514
Haiti,2015,Medium,10711.061
Haiti,2015,High,10711.061
Haiti,2015,Low,10711.061
Haiti,2015,Constant fertility,10711.061
Haiti,2015,Instant replacement,10711.061
Haiti,2015,Zero migration,10711.061
Haiti,2015,Constant mortality,10711.061
Haiti,2015,No change,10711.061
Haiti,2015,Momentum,10711.061
High-income countries,2015,Medium,1180060.957
High-income countries,2015,High,1180060.957
High-income countries,2015,Low,1180060.957
High-income countries,2015,Constant fertility,1180060.957
High-income countries,2015,Instant replacement,1180060.957
High-income countries,2015,Zero migration,1180060.957
High-income countries,2015,Constant mortality,1180060.957
High-income countries,2015,No change,1180060.957
High-income countries,2015,Momentum,1180060.957
Holy See,2015,Medium,0.803
Holy See,2015,High,0.803
Holy See,2015,Low,0.803
Holy See,2015,Constant fertility,0.803
Holy See,2015,Instant replacement,0.803
Holy See,2015,Zero migration,0.803
Holy See,2015,Constant mortality,0.803
Holy See,2015,No change,0.803
Holy See,2015,Momentum,0.803
Honduras,2015,Medium,8960.829
Honduras,2015,High,8960.829
Honduras,2015,Low,8960.829
Honduras,2015,Constant fertility,8960.829
Honduras,2015,Instant replacement,8960.829
Honduras,2015,Zero migration,8960.829
Honduras,2015,Constant mortality,8960.829
Honduras,2015,No change,8960.829
Honduras,2015,Momentum,8960.829
Hungary,2015,Medium,9783.925
Hungary,2015,High,9783.925
Hungary,2015,Low,9783.925
Hungary,2015,Constant fertility,9783.925
Hungary,2015,Instant replacement,9783.925
Hungary,2015,Zero migration,9783.925
Hungary,2015,Constant mortality,9783.925
Hungary,2015,No change,9783.925
Hungary,2015,Momentum,9783.925
Iceland,2015,Medium,330.243
Iceland,2015,High,330.243
Iceland,2015,Low,330.243
Iceland,2015,Constant fertility,330.243
Iceland,2015,Instant replacement,330.243
Iceland,2015,Zero migration,330.243
Iceland,2015,Constant mortality,330.243
Iceland,2015,No change,330.243
Iceland,2015,Momentum,330.243
India,2015,Medium,1309053.98
India,2015,High,1309053.98
India,2015,Low,1309053.98
India,2015,Constant fertility,1309053.98
India,2015,Instant replacement,1309053.98
India,2015,Zero migration,1309053.98
India,2015,Constant mortality,1309053.98
India,2015,No change,1309053.98
India,2015,Momentum,1309053.98
Indonesia,2015,Medium,258162.113
Indonesia,2015,High,258162.113
Indonesia,2015,Low,258162.113
Indonesia,2015,Constant fertility,258162.113
Indonesia,2015,Instant replacement,258162.113
Indonesia,2015,Zero migration,258162.113
Indonesia,2015,Constant mortality,258162.113
Indonesia,2015,No change,258162.113
Indonesia,2015,Momentum,258162.113
Iran,2015,Medium,79360.487
Iran,2015,High,79360.487
Iran,2015,Low,79360.487
Iran,2015,Constant fertility,79360.487
Iran,2015,Instant replacement,79360.487
Iran,2015,Zero migration,79360.487
Iran,2015,Constant mortality,79360.487
Iran,2015,No change,79360.487
Iran,2015,Momentum,79360.487
Iraq,2015,Medium,36115.649
Iraq,2015,High,36115.649
Iraq,2015,Low,36115.649
Iraq,2015,Constant fertility,36115.649
Iraq,2015,Instant replacement,36115.649
Iraq,2015,Zero migration,36115.649
Iraq,2015,Constant mortality,36115.649
Iraq,2015,No change,36115.649
Iraq,2015,Momentum,36115.649
Ireland,2015,Medium,4700.107
Ireland,2015,High,4700.107
Ireland,2015,Low,4700.107
Ireland,2015,Constant fertility,4700.107
Ireland,2015,Instant replacement,4700.107
Ireland,2015,Zero migration,4700.107
Ireland,2015,Constant mortality,4700.107
Ireland,2015,No change,4700.107
Ireland,2015,Momentum,4700.107
Isle of Man,2015,Medium,83.167
Isle of Man,2015,High,83.167
Isle of Man,2015,Low,83.167
Isle of Man,2015,Constant fertility,83.167
Isle of Man,2015,Instant replacement,83.167
Isle of Man,2015,Zero migration,83.167
Isle of Man,2015,Constant mortality,83.167
Isle of Man,2015,No change,83.167
Isle of Man,2015,Momentum,83.167
Israel,2015,Medium,8064.547
Israel,2015,High,8064.547
Israel,2015,Low,8064.547
Israel,2015,Constant fertility,8064.547
Israel,2015,Instant replacement,8064.547
Israel,2015,Zero migration,8064.547
Israel,2015,Constant mortality,8064.547
Israel,2015,No change,8064.547
Israel,2015,Momentum,8064.547
Italy,2015,Medium,59504.212
Italy,2015,High,59504.212
Italy,2015,Low,59504.212
Italy,2015,Constant fertility,59504.212
Italy,2015,Instant replacement,59504.212
Italy,2015,Zero migration,59504.212
Italy,2015,Constant mortality,59504.212
Italy,2015,No change,59504.212
Italy,2015,Momentum,59504.212
Jamaica,2015,Medium,2871.934
Jamaica,2015,High,2871.934
Jamaica,2015,Low,2871.934
Jamaica,2015,Constant fertility,2871.934
Jamaica,2015,Instant replacement,2871.934
Jamaica,2015,Zero migration,2871.934
Jamaica,2015,Constant mortality,2871.934
Jamaica,2015,No change,2871.934
Jamaica,2015,Momentum,2871.934
Japan,2015,Medium,127974.958
Japan,2015,High,127974.958
Japan,2015,Low,127974.958
Japan,2015,Constant fertility,127974.958
Japan,2015,Instant replacement,127974.958
Japan,2015,Zero migration,127974.958
Japan,2015,Constant mortality,127974.958
Japan,2015,No change,127974.958
Japan,2015,Momentum,127974.958
Jordan,2015,Medium,9159.302
Jordan,2015,High,9159.302
Jordan,2015,Low,9159.302
Jordan,2015,Constant fertility,9159.302
Jordan,2015,Instant replacement,9159.302
Jordan,2015,Zero migration,9159.302
Jordan,2015,Constant mortality,9159.302
Jordan,2015,No change,9159.302
Jordan,2015,Momentum,9159.302
Kazakhstan,2015,Medium,17749.648
Kazakhstan,2015,High,17749.648
Kazakhstan,2015,Low,17749.648
Kazakhstan,2015,Constant fertility,17749.648
Kazakhstan,2015,Instant replacement,17749.648
Kazakhstan,2015,Zero migration,17749.648
Kazakhstan,2015,Constant mortality,17749.648
Kazakhstan,2015,No change,17749.648
Kazakhstan,2015,Momentum,17749.648
Kenya,2015,Medium,47236.259
Kenya,2015,High,47236.259
Kenya,2015,Low,47236.259
Kenya,2015,Constant fertility,47236.259
Kenya,2015,Instant replacement,47236.259
Kenya,2015,Zero migration,47236.259
Kenya,2015,Constant mortality,47236.259
Kenya,2015,No change,47236.259
Kenya,2015,Momentum,47236.259
Kiribati,2015,Medium,112.407
Kiribati,2015,High,112.407
Kiribati,2015,Low,112.407
Kiribati,2015,Constant fertility,112.407
Kiribati,2015,Instant replacement,112.407
Kiribati,2015,Zero migration,112.407
Kiribati,2015,Constant mortality,112.407
Kiribati,2015,No change,112.407
Kiribati,2015,Momentum,112.407
Kuwait,2015,Medium,3935.794
Kuwait,2015,High,3935.794
Kuwait,2015,Low,3935.794
Kuwait,2015,Constant fertility,3935.794
Kuwait,2015,Instant replacement,3935.794
Kuwait,2015,Zero migration,3935.794
Kuwait,2015,Constant mortality,3935.794
Kuwait,2015,No change,3935.794
Kuwait,2015,Momentum,3935.794
Kyrgyzstan,2015,Medium,5865.401
Kyrgyzstan,2015,High,5865.401
Kyrgyzstan,2015,Low,5865.401
Kyrgyzstan,2015,Constant fertility,5865.401
Kyrgyzstan,2015,Instant replacement,5865.401
Kyrgyzstan,2015,Zero migration,5865.401
Kyrgyzstan,2015,Constant mortality,5865.401
Kyrgyzstan,2015,No change,5865.401
Kyrgyzstan,2015,Momentum,5865.401
Lao People's Democratic Republic,2015,Medium,6663.967
Lao People's Democratic Republic,2015,High,6663.967
Lao People's Democratic Republic,2015,Low,6663.967
Lao People's Democratic Republic,2015,Constant fertility,6663.967
Lao People's Democratic Republic,2015,Instant replacement,6663.967
Lao People's Democratic Republic,2015,Zero migration,6663.967
Lao People's Democratic Republic,2015,Constant mortality,6663.967
Lao People's Democratic Republic,2015,No change,6663.967
Lao People's Democratic Republic,2015,Momentum,6663.967
Latin America and the Caribbean,2015,Medium,632380.831
Latin America and the Caribbean,2015,High,632380.831
Latin America and the Caribbean,2015,Low,632380.831
Latin America and the Caribbean,2015,Constant fertility,632380.831
Latin America and the Caribbean,2015,Instant replacement,632380.831
Latin America and the Caribbean,2015,Zero migration,632380.831
Latin America and the Caribbean,2015,Constant mortality,632380.831
Latin America and the Caribbean,2015,No change,632380.831
Latin America and the Caribbean,2015,Momentum,632380.831
Latvia,2015,Medium,1992.663
Latvia,2015,High,1992.663
Latvia,2015,Low,1992.663
Latvia,2015,Constant fertility,1992.663
Latvia,2015,Instant replacement,1992.663
Latvia,2015,Zero migration,1992.663
Latvia,2015,Constant mortality,1992.663
Latvia,2015,No change,1992.663
Latvia,2015,Momentum,1992.663
Least developed countries,2015,Medium,956631.108
Least developed countries,2015,High,956631.108
Least developed countries,2015,Low,956631.108
Least developed countries,2015,Constant fertility,956631.108
Least developed countries,2015,Instant replacement,956631.108
Least developed countries,2015,Zero migration,956631.108
Least developed countries,2015,Constant mortality,956631.108
Least developed countries,2015,No change,956631.108
Least developed countries,2015,Momentum,956631.108
Lebanon,2015,Medium,5851.479
Lebanon,2015,High,5851.479
Lebanon,2015,Low,5851.479
Lebanon,2015,Constant fertility,5851.479
Lebanon,2015,Instant replacement,5851.479
Lebanon,2015,Zero migration,5851.479
Lebanon,2015,Constant mortality,5851.479
Lebanon,2015,No change,5851.479
Lebanon,2015,Momentum,5851.479
Lesotho,2015,Medium,2174.645
Lesotho,2015,High,2174.645
Lesotho,2015,Low,2174.645
Lesotho,2015,Constant fertility,2174.645
Lesotho,2015,Instant replacement,2174.645
Lesotho,2015,Zero migration,2174.645
Lesotho,2015,Constant mortality,2174.645
Lesotho,2015,No change,2174.645
Lesotho,2015,Momentum,2174.645
Less developed regions,2015,Medium,6129802.274
Less developed regions,2015,High,6129802.274
Less developed regions,2015,Low,6129802.274
Less developed regions,2015,Constant fertility,6129802.274
Less developed regions,2015,Instant replacement,6129802.274
Less developed regions,2015,Zero migration,6129802.274
Less developed regions,2015,Constant mortality,6129802.274
Less developed regions,2015,No change,6129802.274
Less developed regions,2015,Momentum,6129802.274
Less developed regions excluding China,2015,Medium,4701441.323
Less developed regions excluding China,2015,High,4701441.323
Less developed regions excluding China,2015,Low,4701441.323
Less developed regions excluding China,2015,Constant fertility,4701441.323
Less developed regions excluding China,2015,Instant replacement,4701441.323
Less developed regions excluding China,2015,Zero migration,4701441.323
Less developed regions excluding China,2015,Constant mortality,4701441.323
Less developed regions excluding China,2015,No change,4701441.323
Less developed regions excluding China,2015,Momentum,4701441.323
Less developed regions excluding least developed countries,2015,Medium,5173171.166
Less developed regions excluding least developed countries,2015,High,5173171.166
Less developed regions excluding least developed countries,2015,Low,5173171.166
Less developed regions excluding least developed countries,2015,Constant fertility,5173171.166
Less developed regions excluding least developed countries,2015,Instant replacement,5173171.166
Less developed regions excluding least developed countries,2015,Zero migration,5173171.166
Less developed regions excluding least developed countries,2015,Constant mortality,5173171.166
Less developed regions excluding least developed countries,2015,No change,5173171.166
Less developed regions excluding least developed countries,2015,Momentum,5173171.166
Liberia,2015,Medium,4499.621
Liberia,2015,High,4499.621
Liberia,2015,Low,4499.621
Liberia,2015,Constant fertility,4499.621
Liberia,2015,Instant replacement,4499.621
Liberia,2015,Zero migration,4499.621
Liberia,2015,Constant mortality,4499.621
Liberia,2015,No change,4499.621
Liberia,2015,Momentum,4499.621
Libya,2015,Medium,6234.955
Libya,2015,High,6234.955
Libya,2015,Low,6234.955
Libya,2015,Constant fertility,6234.955
Libya,2015,Instant replacement,6234.955
Libya,2015,Zero migration,6234.955
Libya,2015,Constant mortality,6234.955
Libya,2015,No change,6234.955
Libya,2015,Momentum,6234.955
Liechtenstein,2015,Medium,37.403
Liechtenstein,2015,High,37.403
Liechtenstein,2015,Low,37.403
Liechtenstein,2015,Constant fertility,37.403
Liechtenstein,2015,Instant replacement,37.403
Liechtenstein,2015,Zero migration,37.403
Liechtenstein,2015,Constant mortality,37.403
Liechtenstein,2015,No change,37.403
Liechtenstein,2015,Momentum,37.403
Lithuania,2015,Medium,2931.926
Lithuania,2015,High,2931.926
Lithuania,2015,Low,2931.926
Lithuania,2015,Constant fertility,2931.926
